Well,OD,BioRep,Col,Dose
A1,1.075000048,A,1,0.0
B1,0.652499974,B,1,0.0
C1,1.132200003,C,1,0.0
D1,1.145499945,D,1,0.0
E1,1.120800018,E,1,0.0
F1,1.132500052,F,1,0.0
G1,1.232800007,G,1,0.0
H1,0.1043,H,1,0.0
A2,1.002900004,A,2,0.0
B2,0.837000012,B,2,0.0
C2,1.074300051,C,2,0.0
D2,1.039800048,D,2,0.0
E2,1.103500009,E,2,0.0
F2,1.123999953,F,2,0.0
G2,1.131700039,G,2,0.0
H2,0.105599999,H,2,0.0
A3,0.993399978,A,3,0.0
B3,0.81099999,B,3,0.0
C3,1.011899948,C,3,0.0
D3,1.077200055,D,3,0.0
E3,1.077999949,E,3,0.0
F3,1.085999966,F,3,0.0
G3,1.148000002,G,3,0.0
H3,0.120800003,H,3,0.0
A4,0.997500002,A,4,10000.0
B4,0.621800005,B,4,10000.0
C4,0.979099989,C,4,10000.0
D4,0.968400002,D,4,10000.0
E4,0.994899988,E,4,10000.0
F4,1.034800053,F,4,10000.0
G4,1.045600057,G,4,10000.0
H4,0.126000002,H,4,10000.0
A5,0.967999995,A,5,10000.0
B5,0.630200028,B,5,10000.0
C5,0.95389998,C,5,10000.0
D5,0.948000014,D,5,10000.0
E5,0.96509999,E,5,10000.0
F5,1.029899955,F,5,10000.0
G5,1.071099997,G,5,10000.0
H5,0.131799996,H,5,10000.0
A6,1.002400041,A,6,10000.0
B6,0.548900008,B,6,10000.0
C6,0.972100019,C,6,10000.0
D6,1.078799963,D,6,10000.0
E6,0.951600015,E,6,10000.0
F6,1.021199942,F,6,10000.0
G6,1.055799961,G,6,10000.0
H6,0.128399998,H,6,10000.0
A7,1.020200014,A,7,1000000.0
B7,0.579999983,B,7,1000000.0
C7,1.089900017,C,7,1000000.0
D7,0.905700028,D,7,1000000.0
E7,1.013200045,E,7,1000000.0
F7,1.025099993,F,7,1000000.0
G7,0.951499999,G,7,1000000.0
H7,0.119800001,H,7,1000000.0
A8,0.997399986,A,8,1000000.0
B8,0.646200001,B,8,1000000.0
C8,0.961300015,C,8,1000000.0
D8,1.047000051,D,8,1000000.0
E8,0.977999985,E,8,1000000.0
F8,0.994700015,F,8,1000000.0
G8,0.999599993,G,8,1000000.0
H8,0.118799999,H,8,1000000.0
A9,1.026200056,A,9,1000000.0
B9,0.92930001,B,9,1000000.0
C9,1.048900008,C,9,1000000.0
D9,1.051100016,D,9,1000000.0
E9,0.99000001,E,9,1000000.0
F9,0.994899988,F,9,1000000.0
G9,1.03489995,G,9,1000000.0
H9,0.116899997,H,9,1000000.0
A10,1.014600039,A,10,100000000.0
B10,0.515399992,B,10,100000000.0
C10,0.95539999,C,10,100000000.0
D10,0.898400009,D,10,100000000.0
E10,0.918900013,E,10,100000000.0
F10,0.937900007,F,10,100000000.0
G10,1.0546,G,10,100000000.0
H10,0.120399997,H,10,100000000.0
A11,1.026100039,A,11,100000000.0
B11,0.751600027,B,11,100000000.0
C11,1.04610002,C,11,100000000.0
D11,0.955500007,D,11,100000000.0
E11,1.03670001,E,11,100000000.0
F11,1.027400017,F,11,100000000.0
G11,1.069499969,G,11,100000000.0
H11,0.112899996,H,11,100000000.0
A12,1.005499959,A,12,100000000.0
B12,0.511300027,B,12,100000000.0
C12,1.058699965,C,12,100000000.0
D12,1.182800055,D,12,100000000.0
E12,1.047700047,E,12,100000000.0
F12,1.064900041,F,12,100000000.0
G12,1.148599982,G,12,100000000.0
H12,0.1043,H,12,100000000.0
