Well,OD,BioRep,Col,Dose
A1,0.738499999,A,1,0.0
B1,0.773999989,B,1,0.0
C1,1.109699965,C,1,0.0
D1,1.059000015,D,1,0.0
E1,0.820500016,E,1,0.0
F1,0.858099997,F,1,0.0
G1,0.760100007,G,1,0.0
H1,0.121200003,H,1,0.0
A2,0.724600017,A,2,0.0
B2,0.684899986,B,2,0.0
C2,0.574199975,C,2,0.0
D2,0.555199981,D,2,0.0
E2,0.793299973,E,2,0.0
F2,0.787100017,F,2,0.0
G2,0.7579,G,2,0.0
H2,0.165399998,H,2,0.0
A3,0.715900004,A,3,0.0
B3,0.70450002,B,3,0.0
C3,0.49059999,C,3,0.0
D3,0.639500022,D,3,0.0
E3,0.800999999,E,3,0.0
F3,0.755999982,F,3,0.0
G3,0.733799994,G,3,0.0
H3,0.162900001,H,3,0.0
A4,0.713999987,A,4,10000.0
B4,0.683600008,B,4,10000.0
C4,0.531400025,C,4,10000.0
D4,0.69599998,D,4,10000.0
E4,0.758599997,E,4,10000.0
F4,0.748199999,F,4,10000.0
G4,0.698099971,G,4,10000.0
H4,0.164700001,H,4,10000.0
A5,0.701900005,A,5,10000.0
B5,0.705299973,B,5,10000.0
C5,0.457599998,C,5,10000.0
D5,0.597899973,D,5,10000.0
E5,0.795899987,E,5,10000.0
F5,0.768599987,F,5,10000.0
G5,0.693599999,G,5,10000.0
H5,0.176300004,H,5,10000.0
A6,0.694299996,A,6,10000.0
B6,0.761200011,B,6,10000.0
C6,0.607200027,C,6,10000.0
D6,0.761099994,D,6,10000.0
E6,0.755699992,E,6,10000.0
F6,0.766900003,F,6,10000.0
G6,0.720399976,G,6,10000.0
H6,0.167099997,H,6,10000.0
A7,0.70660001,A,7,1000000.0
B7,0.718100011,B,7,1000000.0
C7,0.864000022,C,7,1000000.0
D7,0.938300014,D,7,1000000.0
E7,0.813000023,E,7,1000000.0
F7,0.773100019,F,7,1000000.0
G7,0.743900001,G,7,1000000.0
H7,0.151600003,H,7,1000000.0
A8,0.715499997,A,8,1000000.0
B8,0.678799987,B,8,1000000.0
C8,0.712700009,C,8,1000000.0
D8,0.794799984,D,8,1000000.0
E8,0.795599997,E,8,1000000.0
F8,0.747300029,F,8,1000000.0
G8,0.740199983,G,8,1000000.0
H8,0.156499997,H,8,1000000.0
A9,0.727500021,A,9,1000000.0
B9,0.692799985,B,9,1000000.0
C9,0.529100001,C,9,1000000.0
D9,0.927100003,D,9,1000000.0
E9,0.774399996,E,9,1000000.0
F9,0.784399986,F,9,1000000.0
G9,0.725000024,G,9,1000000.0
H9,0.159400001,H,9,1000000.0
A10,0.760800004,A,10,100000000.0
B10,0.737200022,B,10,100000000.0
C10,0.502699971,C,10,100000000.0
D10,0.614099979,D,10,100000000.0
E10,0.80400002,E,10,100000000.0
F10,0.707899988,F,10,100000000.0
G10,0.770200014,G,10,100000000.0
H10,0.164800003,H,10,100000000.0
A11,0.776899993,A,11,100000000.0
B11,0.737399995,B,11,100000000.0
C11,0.665799975,C,11,100000000.0
D11,0.547200024,D,11,100000000.0
E11,0.810899973,E,11,100000000.0
F11,0.817099988,F,11,100000000.0
G11,0.753600001,G,11,100000000.0
H11,0.175300002,H,11,100000000.0
A12,0.743900001,A,12,100000000.0
B12,0.731899977,B,12,100000000.0
C12,0.488599986,C,12,100000000.0
D12,0.747500002,D,12,100000000.0
E12,0.808000028,E,12,100000000.0
F12,0.88499999,F,12,100000000.0
G12,0.869400024,G,12,100000000.0
H12,0.147300005,H,12,100000000.0
