Well,OD,BioRep,Col,Dose
A1,0.570800006,A,1,0.0
B1,0.519200027,B,1,0.0
C1,0.512600005,C,1,0.0
D1,0.488599986,D,1,0.0
E1,0.506600022,E,1,0.0
F1,0.432599992,F,1,0.0
G1,0.457199991,G,1,0.0
H1,0.122500002,H,1,0.0
A2,0.471799999,A,2,0.0
B2,0.476399988,B,2,0.0
C2,0.444400012,C,2,0.0
D2,0.416799992,D,2,0.0
E2,0.443899989,E,2,0.0
F2,0.373899996,F,2,0.0
G2,0.398799986,G,2,0.0
H2,0.1972,H,2,0.0
A3,0.468300015,A,3,0.0
B3,0.469999999,B,3,0.0
C3,0.387600005,C,3,0.0
D3,0.375400007,D,3,0.0
E3,0.444799989,E,3,0.0
F3,0.355599999,F,3,0.0
G3,0.397300005,G,3,0.0
H3,0.198500007,H,3,0.0
A4,0.430299997,A,4,10000.0
B4,0.497200012,B,4,10000.0
C4,0.435900003,C,4,10000.0
D4,0.379500002,D,4,10000.0
E4,0.437299997,E,4,10000.0
F4,0.369899988,F,4,10000.0
G4,0.389600009,G,4,10000.0
H4,0.188500002,H,4,10000.0
A5,0.431100011,A,5,10000.0
B5,0.455599993,B,5,10000.0
C5,0.370999992,C,5,10000.0
D5,0.379200011,D,5,10000.0
E5,0.460200012,E,5,10000.0
F5,0.377999991,F,5,10000.0
G5,0.396400005,G,5,10000.0
H5,0.179399997,H,5,10000.0
A6,0.451599985,A,6,10000.0
B6,0.495000005,B,6,10000.0
C6,0.488799989,C,6,10000.0
D6,0.374900013,D,6,10000.0
E6,0.492000014,E,6,10000.0
F6,0.405800015,F,6,10000.0
G6,0.380899996,G,6,10000.0
H6,0.191100001,H,6,10000.0
A7,0.497599989,A,7,1000000.0
B7,0.489899993,B,7,1000000.0
C7,0.390599996,C,7,1000000.0
D7,0.42809999,D,7,1000000.0
E7,0.480800003,E,7,1000000.0
F7,0.4023,F,7,1000000.0
G7,0.400700003,G,7,1000000.0
H7,0.183400005,H,7,1000000.0
A8,0.488599986,A,8,1000000.0
B8,0.486200005,B,8,1000000.0
C8,0.419,C,8,1000000.0
D8,0.393999994,D,8,1000000.0
E8,0.444599986,E,8,1000000.0
F8,0.38530001,F,8,1000000.0
G8,0.370999992,G,8,1000000.0
H8,0.192200005,H,8,1000000.0
A9,0.485100001,A,9,1000000.0
B9,0.459699988,B,9,1000000.0
C9,0.420399994,C,9,1000000.0
D9,0.395399988,D,9,1000000.0
E9,0.498800009,E,9,1000000.0
F9,0.408199996,F,9,1000000.0
G9,0.441799998,G,9,1000000.0
H9,0.171200007,H,9,1000000.0
A10,0.421400011,A,10,100000000.0
B10,0.504199982,B,10,100000000.0
C10,0.389800012,C,10,100000000.0
D10,0.417699993,D,10,100000000.0
E10,0.470200002,E,10,100000000.0
F10,0.43900001,F,10,100000000.0
G10,0.411799997,G,10,100000000.0
H10,0.170699999,H,10,100000000.0
A11,0.498600006,A,11,100000000.0
B11,0.504199982,B,11,100000000.0
C11,0.405499995,C,11,100000000.0
D11,0.419400007,D,11,100000000.0
E11,0.495900005,E,11,100000000.0
F11,0.395999998,F,11,100000000.0
G11,0.420399994,G,11,100000000.0
H11,0.163399994,H,11,100000000.0
A12,0.407299995,A,12,100000000.0
B12,0.462399989,B,12,100000000.0
C12,0.413700014,C,12,100000000.0
D12,0.383599997,D,12,100000000.0
E12,0.48120001,E,12,100000000.0
F12,0.357199997,F,12,100000000.0
G12,0.389499992,G,12,100000000.0
H12,0.099200003,H,12,100000000.0
