Well,OD,BioRep,Col,Dose
A1,1.152799964,A,1,0.0
B1,1.138200045,B,1,0.0
C1,0.752900004,C,1,0.0
D1,0.756500006,D,1,0.0
E1,1.051800013,E,1,0.0
F1,0.758300006,F,1,0.0
G1,0.758099973,G,1,0.0
H1,0.102799997,H,1,0.0
A2,1.087700009,A,2,0.0
B2,1.128200054,B,2,0.0
C2,0.930000007,C,2,0.0
D2,0.65109998,D,2,0.0
E2,0.323900014,E,2,0.0
F2,0.692200005,F,2,0.0
G2,0.627600014,G,2,0.0
H2,0.119400002,H,2,0.0
A3,1.085999966,A,3,0.0
B3,1.100200057,B,3,0.0
C3,0.961899996,C,3,0.0
D3,0.702400029,D,3,0.0
E3,0.904999971,E,3,0.0
F3,0.603399992,F,3,0.0
G3,0.622600019,G,3,0.0
H3,0.144899994,H,3,0.0
A4,1.127699971,A,4,10000.0
B4,0.943899989,B,4,10000.0
C4,0.71450001,C,4,10000.0
D4,0.631699979,D,4,10000.0
E4,0.867799997,E,4,10000.0
F4,0.635100007,F,4,10000.0
G4,0.64349997,G,4,10000.0
H4,0.143900007,H,4,10000.0
A5,1.078299999,A,5,10000.0
B5,0.97390002,B,5,10000.0
C5,0.745899975,C,5,10000.0
D5,0.648100019,D,5,10000.0
E5,0.819500029,E,5,10000.0
F5,0.645399988,F,5,10000.0
G5,0.728699982,G,5,10000.0
H5,0.139300004,H,5,10000.0
A6,0.995400012,A,6,10000.0
B6,1.040099978,B,6,10000.0
C6,0.889599979,C,6,10000.0
D6,0.688899994,D,6,10000.0
E6,0.972199976,E,6,10000.0
F6,0.690999985,F,6,10000.0
G6,0.658100009,G,6,10000.0
H6,0.134100005,H,6,10000.0
A7,1.086199999,A,7,1000000.0
B7,1.007300019,B,7,1000000.0
C7,0.809499979,C,7,1000000.0
D7,0.614700019,D,7,1000000.0
E7,0.792599976,E,7,1000000.0
F7,0.679499984,F,7,1000000.0
G7,0.675899982,G,7,1000000.0
H7,0.133100003,H,7,1000000.0
A8,1.081900001,A,8,1000000.0
B8,0.964600027,B,8,1000000.0
C8,0.912899971,C,8,1000000.0
D8,0.603200018,D,8,1000000.0
E8,0.815999985,E,8,1000000.0
F8,0.68599999,F,8,1000000.0
G8,0.653800011,G,8,1000000.0
H8,0.114699997,H,8,1000000.0
A9,1.016100049,A,9,1000000.0
B9,1.027400017,B,9,1000000.0
C9,0.79400003,C,9,1000000.0
D9,0.587400019,D,9,1000000.0
E9,0.949199975,E,9,1000000.0
F9,0.601599991,F,9,1000000.0
G9,0.658999979,G,9,1000000.0
H9,0.124300003,H,9,1000000.0
A10,0.90109998,A,10,100000000.0
B10,1.092000008,B,10,100000000.0
C10,0.862699986,C,10,100000000.0
D10,0.612699986,D,10,100000000.0
E10,0.923099995,E,10,100000000.0
F10,0.606599987,F,10,100000000.0
G10,0.722000003,G,10,100000000.0
H10,0.121699996,H,10,100000000.0
A11,1.033599973,A,11,100000000.0
B11,0.963400006,B,11,100000000.0
C11,0.850799978,C,11,100000000.0
D11,0.656799972,D,11,100000000.0
E11,1.139799953,E,11,100000000.0
F11,0.738200009,F,11,100000000.0
G11,0.671400011,G,11,100000000.0
H11,0.118600003,H,11,100000000.0
A12,1.005800009,A,12,100000000.0
B12,1.028699994,B,12,100000000.0
C12,1.024999976,C,12,100000000.0
D12,0.67869997,D,12,100000000.0
E12,1.086199999,E,12,100000000.0
F12,0.645200014,F,12,100000000.0
G12,0.734399974,G,12,100000000.0
H12,0.104900002,H,12,100000000.0
