Well,OD,BioRep,Col,Dose
A1,1.036800027,A,1,0.0
B1,0.797599971,B,1,0.0
C1,0.931400001,C,1,0.0
D1,1.122099996,D,1,0.0
E1,0.762499988,E,1,0.0
F1,0.674199998,F,1,0.0
G1,1.123399973,G,1,0.0
H1,0.248600006,H,1,0.0
A2,1.092700005,A,2,0.0
B2,0.856100023,B,2,0.0
C2,0.980599999,C,2,0.0
D2,1.156100035,D,2,0.0
E2,0.754899979,E,2,0.0
F2,0.68779999,F,2,0.0
G2,1.061200023,G,2,0.0
H2,0.265500009,H,2,0.0
A3,1.081699967,A,3,0.0
B3,0.880900025,B,3,0.0
C3,0.967599988,C,3,0.0
D3,1.245200038,D,3,0.0
E3,0.789799988,E,3,0.0
F3,0.910899997,F,3,0.0
G3,1.047600031,G,3,0.0
H3,0.262499988,H,3,0.0
A4,1.152500033,A,4,10000.0
B4,0.852900028,B,4,10000.0
C4,0.906599998,C,4,10000.0
D4,1.026800036,D,4,10000.0
E4,0.803900003,E,4,10000.0
F4,0.745199978,F,4,10000.0
G4,0.73269999,G,4,10000.0
H4,0.260100007,H,4,10000.0
A5,1.056100011,A,5,10000.0
B5,0.86650002,B,5,10000.0
C5,0.8926,C,5,10000.0
D5,1.052299976,D,5,10000.0
E5,0.809199989,E,5,10000.0
F5,0.751299977,F,5,10000.0
G5,0.997500002,G,5,10000.0
H5,0.255299985,H,5,10000.0
A6,0.987500012,A,6,10000.0
B6,0.850799978,B,6,10000.0
C6,0.918799996,C,6,10000.0
D6,1.024199963,D,6,10000.0
E6,0.820500016,E,6,10000.0
F6,0.688799977,F,6,10000.0
G6,0.944800019,G,6,10000.0
H6,0.254999995,H,6,10000.0
A7,1.059599996,A,7,1000000.0
B7,0.901600003,B,7,1000000.0
C7,0.907000005,C,7,1000000.0
D7,1.065000057,D,7,1000000.0
E7,0.821500003,E,7,1000000.0
F7,0.816699982,F,7,1000000.0
G7,1.078799963,G,7,1000000.0
H7,0.259499997,H,7,1000000.0
A8,0.979900002,A,8,1000000.0
B8,0.847299993,B,8,1000000.0
C8,0.913699985,C,8,1000000.0
D8,1.022799969,D,8,1000000.0
E8,0.8222,E,8,1000000.0
F8,0.851199985,F,8,1000000.0
G8,1.017099977,G,8,1000000.0
H8,0.269600004,H,8,1000000.0
A9,1.25759995,A,9,1000000.0
B9,0.851800025,B,9,1000000.0
C9,0.888800025,C,9,1000000.0
D9,1.01030004,D,9,1000000.0
E9,0.817300022,E,9,1000000.0
F9,0.703800023,F,9,1000000.0
G9,1.117699981,G,9,1000000.0
H9,0.253500015,H,9,1000000.0
A10,0.943899989,A,10,100000000.0
B10,0.818499982,B,10,100000000.0
C10,0.871800005,C,10,100000000.0
D10,0.936999977,D,10,100000000.0
E10,0.82190001,E,10,100000000.0
F10,0.866900027,F,10,100000000.0
G10,0.850600004,G,10,100000000.0
H10,0.256000012,H,10,100000000.0
A11,0.92900002,A,11,100000000.0
B11,0.825299978,B,11,100000000.0
C11,0.927100003,C,11,100000000.0
D11,0.942200005,D,11,100000000.0
E11,0.844600022,E,11,100000000.0
F11,0.869099975,F,11,100000000.0
G11,1.258900046,G,11,100000000.0
H11,0.248799995,H,11,100000000.0
A12,0.91930002,A,12,100000000.0
B12,0.786000013,B,12,100000000.0
C12,0.983099997,C,12,100000000.0
D12,0.997699976,D,12,100000000.0
E12,0.817499995,E,12,100000000.0
F12,0.770099998,F,12,100000000.0
G12,0.821200013,G,12,100000000.0
H12,0.232999995,H,12,100000000.0
