Well,OD,BioRep,Col,Dose
A1,0.487899989,A,1,0.0
B1,0.637600005,B,1,0.0
C1,0.515299976,C,1,0.0
D1,0.534500003,D,1,0.0
E1,0.518899977,E,1,0.0
F1,0.381900012,F,1,0.0
G1,0.414700001,G,1,0.0
H1,0.1175,H,1,0.0
A2,0.530700028,A,2,0.0
B2,0.664300025,B,2,0.0
C2,0.538500011,C,2,0.0
D2,0.575399995,D,2,0.0
E2,0.465700001,E,2,0.0
F2,0.374900013,F,2,0.0
G2,0.354099989,G,2,0.0
H2,0.170499995,H,2,0.0
A3,0.52640003,A,3,0.0
B3,0.628300011,B,3,0.0
C3,0.534300029,C,3,0.0
D3,0.581900001,D,3,0.0
E3,0.460000008,E,3,0.0
F3,0.425099999,F,3,0.0
G3,0.36500001,G,3,0.0
H3,0.174700007,H,3,0.0
A4,0.508300006,A,4,10000.0
B4,0.513100028,B,4,10000.0
C4,0.52579999,C,4,10000.0
D4,0.587199986,D,4,10000.0
E4,0.406599998,E,4,10000.0
F4,0.352999985,F,4,10000.0
G4,0.3653,G,4,10000.0
H4,0.174500003,H,4,10000.0
A5,0.503600001,A,5,10000.0
B5,0.443300009,B,5,10000.0
C5,0.51789999,C,5,10000.0
D5,0.585900009,D,5,10000.0
E5,0.431499988,E,5,10000.0
F5,0.374199986,F,5,10000.0
G5,0.386299998,G,5,10000.0
H5,0.177900001,H,5,10000.0
A6,0.500699997,A,6,10000.0
B6,0.441500008,B,6,10000.0
C6,0.540000021,C,6,10000.0
D6,0.582400024,D,6,10000.0
E6,0.441700011,E,6,10000.0
F6,0.370799989,F,6,10000.0
G6,0.418500006,G,6,10000.0
H6,0.177200004,H,6,10000.0
A7,0.499799997,A,7,1000000.0
B7,0.454100013,B,7,1000000.0
C7,0.503000021,C,7,1000000.0
D7,0.557200015,D,7,1000000.0
E7,0.435900003,E,7,1000000.0
F7,0.3926,F,7,1000000.0
G7,0.421799988,G,7,1000000.0
H7,0.178499997,H,7,1000000.0
A8,0.474299997,A,8,1000000.0
B8,0.448900014,B,8,1000000.0
C8,0.506900012,C,8,1000000.0
D8,0.548399985,D,8,1000000.0
E8,0.446700007,E,8,1000000.0
F8,0.397100002,F,8,1000000.0
G8,0.450599998,G,8,1000000.0
H8,0.167199999,H,8,1000000.0
A9,0.485300004,A,9,1000000.0
B9,0.462500006,B,9,1000000.0
C9,0.49000001,C,9,1000000.0
D9,0.536800027,D,9,1000000.0
E9,0.43689999,E,9,1000000.0
F9,0.345800012,F,9,1000000.0
G9,0.412800014,G,9,1000000.0
H9,0.153899997,H,9,1000000.0
A10,0.449299991,A,10,100000000.0
B10,0.475600004,B,10,100000000.0
C10,0.497799993,C,10,100000000.0
D10,0.518599987,D,10,100000000.0
E10,0.462900013,E,10,100000000.0
F10,0.372599989,F,10,100000000.0
G10,0.426899999,G,10,100000000.0
H10,0.160600007,H,10,100000000.0
A11,0.45660001,A,11,100000000.0
B11,0.494100004,B,11,100000000.0
C11,0.499900013,C,11,100000000.0
D11,0.524399996,D,11,100000000.0
E11,0.442799985,E,11,100000000.0
F11,0.356299996,F,11,100000000.0
G11,0.403100014,G,11,100000000.0
H11,0.136999995,H,11,100000000.0
A12,0.490500003,A,12,100000000.0
B12,0.521799982,B,12,100000000.0
C12,0.493800014,C,12,100000000.0
D12,0.51819998,D,12,100000000.0
E12,0.531899989,E,12,100000000.0
F12,0.446700007,F,12,100000000.0
G12,0.4208,G,12,100000000.0
H12,0.098700002,H,12,100000000.0
