Well,OD,BioRep,Col,Dose
A1,0.699199975,A,1,0.0
B1,0.819599986,B,1,0.0
C1,0.858799994,C,1,0.0
D1,0.725399971,D,1,0.0
E1,0.919099987,E,1,0.0
F1,0.876100004,F,1,0.0
G1,0.838699996,G,1,0.0
H1,0.212599993,H,1,0.0
A2,0.700100005,A,2,0.0
B2,0.801500022,B,2,0.0
C2,0.841799974,C,2,0.0
D2,0.744700015,D,2,0.0
E2,0.939100027,E,2,0.0
F2,0.858399987,F,2,0.0
G2,0.846099973,G,2,0.0
H2,0.2227,H,2,0.0
A3,0.683099985,A,3,0.0
B3,0.797399998,B,3,0.0
C3,0.882399976,C,3,0.0
D3,0.773800015,D,3,0.0
E3,0.764299989,E,3,0.0
F3,0.885100007,F,3,0.0
G3,0.818700016,G,3,0.0
H3,0.229100004,H,3,0.0
A4,0.695299983,A,4,10000.0
B4,0.802399993,B,4,10000.0
C4,0.837100029,C,4,10000.0
D4,0.771799982,D,4,10000.0
E4,0.853699982,E,4,10000.0
F4,0.836000025,F,4,10000.0
G4,0.790300012,G,4,10000.0
H4,0.231600001,H,4,10000.0
A5,0.695200026,A,5,10000.0
B5,0.785700023,B,5,10000.0
C5,0.834599972,C,5,10000.0
D5,0.769999981,D,5,10000.0
E5,0.858900011,E,5,10000.0
F5,0.810000002,F,5,10000.0
G5,0.8046,G,5,10000.0
H5,0.229699999,H,5,10000.0
A6,0.693700016,A,6,10000.0
B6,0.779600024,B,6,10000.0
C6,0.850600004,C,6,10000.0
D6,0.766300023,D,6,10000.0
E6,0.905200005,E,6,10000.0
F6,0.858299971,F,6,10000.0
G6,0.756799996,G,6,10000.0
H6,0.226699993,H,6,10000.0
A7,0.698199987,A,7,1000000.0
B7,0.7773,B,7,1000000.0
C7,0.808200002,C,7,1000000.0
D7,0.786499977,D,7,1000000.0
E7,0.87529999,E,7,1000000.0
F7,0.861899972,F,7,1000000.0
G7,0.826099992,G,7,1000000.0
H7,0.230599999,H,7,1000000.0
A8,0.696500003,A,8,1000000.0
B8,0.782100022,B,8,1000000.0
C8,0.831099987,C,8,1000000.0
D8,0.747699976,D,8,1000000.0
E8,0.873099983,E,8,1000000.0
F8,0.845700026,F,8,1000000.0
G8,0.841499984,G,8,1000000.0
H8,0.238900006,H,8,1000000.0
A9,0.709900022,A,9,1000000.0
B9,0.772400022,B,9,1000000.0
C9,0.842800021,C,9,1000000.0
D9,0.760399997,D,9,1000000.0
E9,0.847000003,E,9,1000000.0
F9,0.860700011,F,9,1000000.0
G9,0.807799995,G,9,1000000.0
H9,0.239999995,H,9,1000000.0
A10,0.667599976,A,10,100000000.0
B10,0.784500003,B,10,100000000.0
C10,0.798900008,C,10,100000000.0
D10,0.724099994,D,10,100000000.0
E10,0.835900009,E,10,100000000.0
F10,0.807699978,F,10,100000000.0
G10,0.835799992,G,10,100000000.0
H10,0.247999996,H,10,100000000.0
A11,0.665600002,A,11,100000000.0
B11,0.782400012,B,11,100000000.0
C11,0.872600019,C,11,100000000.0
D11,0.728200018,D,11,100000000.0
E11,0.939599991,E,11,100000000.0
F11,0.837800026,F,11,100000000.0
G11,0.832099974,G,11,100000000.0
H11,0.245299995,H,11,100000000.0
A12,0.697600007,A,12,100000000.0
B12,0.816399992,B,12,100000000.0
C12,0.826799989,C,12,100000000.0
D12,0.745400012,D,12,100000000.0
E12,1.012899995,E,12,100000000.0
F12,0.856599987,F,12,100000000.0
G12,0.84009999,G,12,100000000.0
H12,0.228200004,H,12,100000000.0
