Well,OD,BioRep,Col,Dose
A1,0.568300009,A,1,0.0
B1,0.592999995,B,1,0.0
C1,0.843599975,C,1,0.0
D1,0.685899973,D,1,0.0
E1,0.691100001,E,1,0.0
F1,0.672999978,F,1,0.0
G1,0.693199992,G,1,0.0
H1,0.106299996,H,1,0.0
A2,0.352100015,A,2,0.0
B2,0.600399971,B,2,0.0
C2,0.903500021,C,2,0.0
D2,0.663100004,D,2,0.0
E2,0.6171,E,2,0.0
F2,0.639800012,F,2,0.0
G2,0.615100026,G,2,0.0
H2,0.148900002,H,2,0.0
A3,0.630299985,A,3,0.0
B3,0.515299976,B,3,0.0
C3,0.887499988,C,3,0.0
D3,0.681999981,D,3,0.0
E3,0.667699993,E,3,0.0
F3,0.635299981,F,3,0.0
G3,0.720700026,G,3,0.0
H3,0.165900007,H,3,0.0
A4,0.666599989,A,4,10000.0
B4,0.437299997,B,4,10000.0
C4,0.700900018,C,4,10000.0
D4,0.638700008,D,4,10000.0
E4,0.761399984,E,4,10000.0
F4,0.638000011,F,4,10000.0
G4,0.741100013,G,4,10000.0
H4,0.159299999,H,4,10000.0
A5,0.503499985,A,5,10000.0
B5,0.434300005,B,5,10000.0
C5,0.883000016,C,5,10000.0
D5,0.657500029,D,5,10000.0
E5,0.732200027,E,5,10000.0
F5,0.6347,F,5,10000.0
G5,0.707700014,G,5,10000.0
H5,0.155000001,H,5,10000.0
A6,0.555199981,A,6,10000.0
B6,0.428200006,B,6,10000.0
C6,0.698700011,C,6,10000.0
D6,0.701600015,D,6,10000.0
E6,0.745000005,E,6,10000.0
F6,0.625800014,F,6,10000.0
G6,0.683499992,G,6,10000.0
H6,0.148300007,H,6,10000.0
A7,0.5898,A,7,1000000.0
B7,0.33860001,B,7,1000000.0
C7,0.881399989,C,7,1000000.0
D7,0.669399977,D,7,1000000.0
E7,0.632700026,E,7,1000000.0
F7,0.667699993,F,7,1000000.0
G7,0.729200006,G,7,1000000.0
H7,0.148900002,H,7,1000000.0
A8,0.459100008,A,8,1000000.0
B8,0.60680002,B,8,1000000.0
C8,0.610499978,C,8,1000000.0
D8,0.657899976,D,8,1000000.0
E8,0.743200004,E,8,1000000.0
F8,0.675400019,F,8,1000000.0
G8,0.675000012,G,8,1000000.0
H8,0.140300006,H,8,1000000.0
A9,0.557200015,A,9,1000000.0
B9,0.376199991,B,9,1000000.0
C9,0.818199992,C,9,1000000.0
D9,0.70389998,D,9,1000000.0
E9,0.728200018,E,9,1000000.0
F9,0.641600013,F,9,1000000.0
G9,0.673900008,G,9,1000000.0
H9,0.140799999,H,9,1000000.0
A10,0.754299998,A,10,100000000.0
B10,0.460999995,B,10,100000000.0
C10,0.560800016,C,10,100000000.0
D10,0.586799979,D,10,100000000.0
E10,0.647899985,E,10,100000000.0
F10,0.620000005,F,10,100000000.0
G10,0.73299998,G,10,100000000.0
H10,0.137400001,H,10,100000000.0
A11,0.881799996,A,11,100000000.0
B11,0.421600014,B,11,100000000.0
C11,0.813899994,C,11,100000000.0
D11,0.651300013,D,11,100000000.0
E11,0.788699985,E,11,100000000.0
F11,0.637199998,F,11,100000000.0
G11,0.765999973,G,11,100000000.0
H11,0.124899998,H,11,100000000.0
A12,0.526600003,A,12,100000000.0
B12,0.561500013,B,12,100000000.0
C12,0.938399971,C,12,100000000.0
D12,0.701699972,D,12,100000000.0
E12,0.656000018,E,12,100000000.0
F12,0.707300007,F,12,100000000.0
G12,0.732900023,G,12,100000000.0
H12,0.1096,H,12,100000000.0
