Well,OD,BioRep,Col,Dose
A1,0.748399973,A,1,0.0
B1,0.736599982,B,1,0.0
C1,1.227900028,C,1,0.0
D1,0.996100008,D,1,0.0
E1,1.221300006,E,1,0.0
F1,1.105999947,F,1,0.0
G1,0.721599996,G,1,0.0
H1,0.173800007,H,1,0.0
A2,0.827099979,A,2,0.0
B2,0.777700007,B,2,0.0
C2,1.192100048,C,2,0.0
D2,1.078199983,D,2,0.0
E2,1.27639997,E,2,0.0
F2,1.160099983,F,2,0.0
G2,0.740100026,G,2,0.0
H2,0.209700003,H,2,0.0
A3,0.767799973,A,3,0.0
B3,0.78670001,B,3,0.0
C3,1.180699944,C,3,0.0
D3,1.089400053,D,3,0.0
E3,1.263800025,E,3,0.0
F3,1.137899995,F,3,0.0
G3,0.712400019,G,3,0.0
H3,0.195899993,H,3,0.0
A4,0.754499972,A,4,10000.0
B4,0.73180002,B,4,10000.0
C4,0.999800026,C,4,10000.0
D4,0.947099984,D,4,10000.0
E4,0.988600016,E,4,10000.0
F4,0.935599983,F,4,10000.0
G4,0.69599998,G,4,10000.0
H4,0.200800002,H,4,10000.0
A5,0.789900005,A,5,10000.0
B5,0.740800023,B,5,10000.0
C5,1.031599998,C,5,10000.0
D5,0.966000021,D,5,10000.0
E5,1.059100032,E,5,10000.0
F5,0.927299976,F,5,10000.0
G5,0.704999983,G,5,10000.0
H5,0.203999996,H,5,10000.0
A6,0.793200016,A,6,10000.0
B6,0.734499991,B,6,10000.0
C6,1.000399947,C,6,10000.0
D6,1.037999988,D,6,10000.0
E6,1.014400005,E,6,10000.0
F6,0.913399994,F,6,10000.0
G6,0.695200026,G,6,10000.0
H6,0.204799995,H,6,10000.0
A7,0.771399975,A,7,1000000.0
B7,0.679499984,B,7,1000000.0
C7,1.032199979,C,7,1000000.0
D7,1.081500053,D,7,1000000.0
E7,1.033300042,E,7,1000000.0
F7,0.967400014,F,7,1000000.0
G7,0.760200024,G,7,1000000.0
H7,0.193599999,H,7,1000000.0
A8,0.774900019,A,8,1000000.0
B8,0.749499977,B,8,1000000.0
C8,1.059700012,C,8,1000000.0
D8,1.052899957,D,8,1000000.0
E8,1.046499968,E,8,1000000.0
F8,0.942600012,F,8,1000000.0
G8,0.778500021,G,8,1000000.0
H8,0.193100005,H,8,1000000.0
A9,0.75910002,A,9,1000000.0
B9,0.649699986,B,9,1000000.0
C9,1.122799993,C,9,1000000.0
D9,1.09739995,D,9,1000000.0
E9,1.046200037,E,9,1000000.0
F9,0.9102,F,9,1000000.0
G9,0.750999987,G,9,1000000.0
H9,0.181700006,H,9,1000000.0
A10,0.734399974,A,10,100000000.0
B10,0.700299978,B,10,100000000.0
C10,0.859399974,C,10,100000000.0
D10,0.978200018,D,10,100000000.0
E10,0.850399971,E,10,100000000.0
F10,0.785899997,F,10,100000000.0
G10,0.72299999,G,10,100000000.0
H10,0.187999994,H,10,100000000.0
A11,0.758099973,A,11,100000000.0
B11,0.694700003,B,11,100000000.0
C11,0.912299991,C,11,100000000.0
D11,0.971099973,D,11,100000000.0
E11,0.899600029,E,11,100000000.0
F11,0.779900014,F,11,100000000.0
G11,0.693199992,G,11,100000000.0
H11,0.192000002,H,11,100000000.0
A12,0.744899988,A,12,100000000.0
B12,0.663500011,B,12,100000000.0
C12,0.927200019,C,12,100000000.0
D12,0.997699976,D,12,100000000.0
E12,0.908999979,E,12,100000000.0
F12,0.81279999,F,12,100000000.0
G12,0.693700016,G,12,100000000.0
H12,0.196500003,H,12,100000000.0
