Well,OD,BioRep,Col,Dose
A1,0.948199987,A,1,0.0
B1,0.864600003,B,1,0.0
C1,1.035699964,C,1,0.0
D1,1.150300026,D,1,0.0
E1,0.908900023,E,1,0.0
F1,0.617299974,F,1,0.0
G1,0.837300003,G,1,0.0
H1,0.093900003,H,1,0.0
A2,0.786000013,A,2,0.0
B2,1.044399977,B,2,0.0
C2,1.281900048,C,2,0.0
D2,1.359699965,D,2,0.0
E2,1.187600017,E,2,0.0
F2,0.869300008,F,2,0.0
G2,1.059399962,G,2,0.0
H2,0.104000002,H,2,0.0
A3,0.931699991,A,3,0.0
B3,1.092700005,B,3,0.0
C3,1.21420002,C,3,0.0
D3,1.297199965,D,3,0.0
E3,1.233299971,E,3,0.0
F3,0.889400005,F,3,0.0
G3,1.049499989,G,3,0.0
H3,0.110299997,H,3,0.0
A4,0.798200011,A,4,10000.0
B4,0.732800007,B,4,10000.0
C4,1.129999995,C,4,10000.0
D4,1.153699994,D,4,10000.0
E4,1.013800025,E,4,10000.0
F4,0.890699983,F,4,10000.0
G4,0.950800002,G,4,10000.0
H4,0.109200001,H,4,10000.0
A5,0.681699991,A,5,10000.0
B5,0.774800003,B,5,10000.0
C5,1.106099963,C,5,10000.0
D5,1.154600024,D,5,10000.0
E5,1.054100037,E,5,10000.0
F5,0.899999976,F,5,10000.0
G5,0.978999972,G,5,10000.0
H5,0.113499999,H,5,10000.0
A6,0.664200008,A,6,10000.0
B6,1.060099959,B,6,10000.0
C6,1.138000011,C,6,10000.0
D6,1.132099986,D,6,10000.0
E6,1.111700058,E,6,10000.0
F6,0.874199986,F,6,10000.0
G6,0.955799997,G,6,10000.0
H6,0.109200001,H,6,10000.0
A7,0.787999988,A,7,1000000.0
B7,0.970600009,B,7,1000000.0
C7,1.176800013,C,7,1000000.0
D7,1.27489996,D,7,1000000.0
E7,1.208500028,E,7,1000000.0
F7,0.93599999,F,7,1000000.0
G7,0.985800028,G,7,1000000.0
H7,0.105599999,H,7,1000000.0
A8,1.083999991,A,8,1000000.0
B8,0.871100008,B,8,1000000.0
C8,1.29519999,C,8,1000000.0
D8,1.198600054,D,8,1000000.0
E8,1.07159996,E,8,1000000.0
F8,0.886600018,F,8,1000000.0
G8,1.01730001,G,8,1000000.0
H8,0.1131,H,8,1000000.0
A9,0.876100004,A,9,1000000.0
B9,0.833800018,B,9,1000000.0
C9,1.206500053,C,9,1000000.0
D9,1.197000027,D,9,1000000.0
E9,0.909699976,E,9,1000000.0
F9,0.868600011,F,9,1000000.0
G9,1.000200033,G,9,1000000.0
H9,0.109399997,H,9,1000000.0
A10,0.898299992,A,10,100000000.0
B10,0.911599994,B,10,100000000.0
C10,0.949100018,C,10,100000000.0
D10,0.97240001,D,10,100000000.0
E10,0.962100029,E,10,100000000.0
F10,0.880200028,F,10,100000000.0
G10,0.862399995,G,10,100000000.0
H10,0.112099998,H,10,100000000.0
A11,0.846300006,A,11,100000000.0
B11,0.712000012,B,11,100000000.0
C11,0.929400027,C,11,100000000.0
D11,0.944599986,D,11,100000000.0
E11,1.144500017,E,11,100000000.0
F11,0.835099995,F,11,100000000.0
G11,0.702499986,G,11,100000000.0
H11,0.1083,H,11,100000000.0
A12,0.914300025,A,12,100000000.0
B12,0.82950002,B,12,100000000.0
C12,0.756699979,C,12,100000000.0
D12,0.765100002,D,12,100000000.0
E12,1.091699958,E,12,100000000.0
F12,0.742399991,F,12,100000000.0
G12,0.701399982,G,12,100000000.0
H12,0.098099999,H,12,100000000.0
