Well,OD,BioRep,Col,Dose
A1,0.9005,A,1,0.0
B1,0.731100023,B,1,0.0
C1,0.864600003,C,1,0.0
D1,1.078199983,D,1,0.0
E1,0.89349997,E,1,0.0
F1,0.853699982,F,1,0.0
G1,0.928499997,G,1,0.0
H1,0.156399995,H,1,0.0
A2,0.910600007,A,2,0.0
B2,0.715300024,B,2,0.0
C2,1.005699992,C,2,0.0
D2,1.159000039,D,2,0.0
E2,0.954999983,E,2,0.0
F2,0.972500026,F,2,0.0
G2,1.003800035,G,2,0.0
H2,0.184100002,H,2,0.0
A3,0.889900029,A,3,0.0
B3,0.8495,B,3,0.0
C3,0.983299971,C,3,0.0
D3,1.183500051,D,3,0.0
E3,0.995400012,E,3,0.0
F3,0.987500012,F,3,0.0
G3,1.046900034,G,3,0.0
H3,0.175099999,H,3,0.0
A4,0.931400001,A,4,10000.0
B4,0.757300019,B,4,10000.0
C4,0.9551,C,4,10000.0
D4,1.08920002,D,4,10000.0
E4,1.028300047,E,4,10000.0
F4,1.029000044,F,4,10000.0
G4,1.034700036,G,4,10000.0
H4,0.177000001,H,4,10000.0
A5,0.926100016,A,5,10000.0
B5,0.851700008,B,5,10000.0
C5,0.969500005,C,5,10000.0
D5,1.109500051,D,5,10000.0
E5,0.986299992,E,5,10000.0
F5,1.014400005,F,5,10000.0
G5,1.043900013,G,5,10000.0
H5,0.173899993,H,5,10000.0
A6,0.89380002,A,6,10000.0
B6,0.880500019,B,6,10000.0
C6,0.950600028,C,6,10000.0
D6,1.172700047,D,6,10000.0
E6,1.00909996,E,6,10000.0
F6,0.979700029,F,6,10000.0
G6,1.060899973,G,6,10000.0
H6,0.180600002,H,6,10000.0
A7,1.00059998,A,7,1000000.0
B7,0.878600001,B,7,1000000.0
C7,0.966700017,C,7,1000000.0
D7,1.180199981,D,7,1000000.0
E7,1.013299942,E,7,1000000.0
F7,1.053799987,F,7,1000000.0
G7,1.082599998,G,7,1000000.0
H7,0.1778,H,7,1000000.0
A8,0.935699999,A,8,1000000.0
B8,0.88410002,B,8,1000000.0
C8,0.953800023,C,8,1000000.0
D8,1.151600003,D,8,1000000.0
E8,0.932200015,E,8,1000000.0
F8,1.001099944,F,8,1000000.0
G8,1.031800032,G,8,1000000.0
H8,0.220400006,H,8,1000000.0
A9,0.989300013,A,9,1000000.0
B9,0.912899971,B,9,1000000.0
C9,1.024000049,C,9,1000000.0
D9,1.138800025,D,9,1000000.0
E9,1.001799941,E,9,1000000.0
F9,0.967999995,F,9,1000000.0
G9,1.051800013,G,9,1000000.0
H9,0.165700004,H,9,1000000.0
A10,0.909799993,A,10,100000000.0
B10,0.764199972,B,10,100000000.0
C10,1.035099983,C,10,100000000.0
D10,1.057399988,D,10,100000000.0
E10,1.004899979,E,10,100000000.0
F10,0.996599972,F,10,100000000.0
G10,1.01849997,G,10,100000000.0
H10,0.172700003,H,10,100000000.0
A11,0.924399972,A,11,100000000.0
B11,0.676699996,B,11,100000000.0
C11,0.938399971,C,11,100000000.0
D11,1.067499995,D,11,100000000.0
E11,0.935599983,E,11,100000000.0
F11,0.916800022,F,11,100000000.0
G11,0.806200027,G,11,100000000.0
H11,0.166500002,H,11,100000000.0
A12,0.912699997,A,12,100000000.0
B12,0.76819998,B,12,100000000.0
C12,0.894699991,C,12,100000000.0
D12,1.021600008,D,12,100000000.0
E12,0.931699991,E,12,100000000.0
F12,0.957599998,F,12,100000000.0
G12,0.959500015,G,12,100000000.0
H12,0.148499995,H,12,100000000.0
