Well,OD,BioRep,Col,Dose
A1,0.4023,A,1,0.0
B1,0.388799995,B,1,0.0
C1,0.354200006,C,1,0.0
D1,0.363499999,D,1,0.0
E1,0.366100013,E,1,0.0
F1,0.372299999,F,1,0.0
G1,0.393000007,G,1,0.0
H1,0.207499996,H,1,0.0
A2,0.360799998,A,2,0.0
B2,0.358799994,B,2,0.0
C2,0.34920001,C,2,0.0
D2,0.342799991,D,2,0.0
E2,0.334399998,E,2,0.0
F2,0.341699988,F,2,0.0
G2,0.383599997,G,2,0.0
H2,0.193100005,H,2,0.0
A3,0.346700013,A,3,0.0
B3,0.350899994,B,3,0.0
C3,0.345999986,C,3,0.0
D3,0.351000011,D,3,0.0
E3,0.358599991,E,3,0.0
F3,0.36590001,F,3,0.0
G3,0.396699995,G,3,0.0
H3,0.192200005,H,3,0.0
A4,0.367199987,A,4,10000.0
B4,0.356099993,B,4,10000.0
C4,0.348800004,C,4,10000.0
D4,0.342400014,D,4,10000.0
E4,0.3574,E,4,10000.0
F4,0.3565,F,4,10000.0
G4,0.379400015,G,4,10000.0
H4,0.205899999,H,4,10000.0
A5,0.36559999,A,5,10000.0
B5,0.352299988,B,5,10000.0
C5,0.337099999,C,5,10000.0
D5,0.344300002,D,5,10000.0
E5,0.368200004,E,5,10000.0
F5,0.376899987,F,5,10000.0
G5,0.363000005,G,5,10000.0
H5,0.202299997,H,5,10000.0
A6,0.3759,A,6,10000.0
B6,0.355199993,B,6,10000.0
C6,0.341100007,C,6,10000.0
D6,0.35710001,D,6,10000.0
E6,0.379400015,E,6,10000.0
F6,0.39410001,F,6,10000.0
G6,0.396400005,G,6,10000.0
H6,0.214699998,H,6,10000.0
A7,0.379799992,A,7,1000000.0
B7,0.367300004,B,7,1000000.0
C7,0.368000001,C,7,1000000.0
D7,0.369899988,D,7,1000000.0
E7,0.393999994,E,7,1000000.0
F7,0.4005,F,7,1000000.0
G7,0.397300005,G,7,1000000.0
H7,0.2104,H,7,1000000.0
A8,0.372500002,A,8,1000000.0
B8,0.355199993,B,8,1000000.0
C8,0.354600012,C,8,1000000.0
D8,0.35769999,D,8,1000000.0
E8,0.377000004,E,8,1000000.0
F8,0.391900003,F,8,1000000.0
G8,0.380899996,G,8,1000000.0
H8,0.232099995,H,8,1000000.0
A9,0.372799993,A,9,1000000.0
B9,0.364199996,B,9,1000000.0
C9,0.353300005,C,9,1000000.0
D9,0.350400001,D,9,1000000.0
E9,0.380600005,E,9,1000000.0
F9,0.393099993,F,9,1000000.0
G9,0.398400009,G,9,1000000.0
H9,0.213499993,H,9,1000000.0
A10,0.364499986,A,10,100000000.0
B10,0.356599987,B,10,100000000.0
C10,0.36469999,C,10,100000000.0
D10,0.353199989,D,10,100000000.0
E10,0.379299998,E,10,100000000.0
F10,0.402799994,F,10,100000000.0
G10,0.411599994,G,10,100000000.0
H10,0.2315,H,10,100000000.0
A11,0.369500011,A,11,100000000.0
B11,0.34920001,B,11,100000000.0
C11,0.367300004,C,11,100000000.0
D11,0.369899988,D,11,100000000.0
E11,0.388599992,E,11,100000000.0
F11,0.396600008,F,11,100000000.0
G11,0.413199991,G,11,100000000.0
H11,0.223199993,H,11,100000000.0
A12,0.371100008,A,12,100000000.0
B12,0.353100002,B,12,100000000.0
C12,0.36649999,C,12,100000000.0
D12,0.369199991,D,12,100000000.0
E12,0.382699996,E,12,100000000.0
F12,0.398600012,F,12,100000000.0
G12,0.396200001,G,12,100000000.0
H12,0.211300001,H,12,100000000.0
