Well,OD,BioRep,Col,Dose
A1,0.580600023,A,1,0.0
B1,0.684800029,B,1,0.0
C1,0.448100001,C,1,0.0
D1,0.657199979,D,1,0.0
E1,0.455799997,E,1,0.0
F1,0.448300004,F,1,0.0
G1,0.428600013,G,1,0.0
H1,0.248099998,H,1,0.0
A2,0.558000028,A,2,0.0
B2,0.536199987,B,2,0.0
C2,0.410100013,C,2,0.0
D2,0.636699975,D,2,0.0
E2,0.485300004,E,2,0.0
F2,0.466300011,F,2,0.0
G2,0.409500003,G,2,0.0
H2,0.240600005,H,2,0.0
A3,0.555700004,A,3,0.0
B3,0.485599995,B,3,0.0
C3,0.494100004,C,3,0.0
D3,0.600099981,D,3,0.0
E3,0.50120002,E,3,0.0
F3,0.499300003,F,3,0.0
G3,0.426499993,G,3,0.0
H3,0.241500005,H,3,0.0
A4,0.557500005,A,4,10000.0
B4,0.482600003,B,4,10000.0
C4,0.453900009,C,4,10000.0
D4,0.620599985,D,4,10000.0
E4,0.511699975,E,4,10000.0
F4,0.491699994,F,4,10000.0
G4,0.409200013,G,4,10000.0
H4,0.232500002,H,4,10000.0
A5,0.556200027,A,5,10000.0
B5,0.479900002,B,5,10000.0
C5,0.472600013,C,5,10000.0
D5,0.616699994,D,5,10000.0
E5,0.508599997,E,5,10000.0
F5,0.546599984,F,5,10000.0
G5,0.3583,G,5,10000.0
H5,0.229900002,H,5,10000.0
A6,0.547999978,A,6,10000.0
B6,0.415800005,B,6,10000.0
C6,0.479499996,C,6,10000.0
D6,0.539600015,D,6,10000.0
E6,0.522400022,E,6,10000.0
F6,0.498400003,F,6,10000.0
G6,0.438899994,G,6,10000.0
H6,0.237499997,H,6,10000.0
A7,0.548699975,A,7,1000000.0
B7,0.399199992,B,7,1000000.0
C7,0.474900007,C,7,1000000.0
D7,0.52759999,D,7,1000000.0
E7,0.518299997,E,7,1000000.0
F7,0.527999997,F,7,1000000.0
G7,0.469799995,G,7,1000000.0
H7,0.230000004,H,7,1000000.0
A8,0.576099992,A,8,1000000.0
B8,0.399300009,B,8,1000000.0
C8,0.47330001,C,8,1000000.0
D8,0.533800006,D,8,1000000.0
E8,0.510399997,E,8,1000000.0
F8,0.572899997,F,8,1000000.0
G8,0.444900006,G,8,1000000.0
H8,0.236000001,H,8,1000000.0
A9,0.575800002,A,9,1000000.0
B9,0.384900004,B,9,1000000.0
C9,0.496499985,C,9,1000000.0
D9,0.492199987,D,9,1000000.0
E9,0.526000023,E,9,1000000.0
F9,0.520600021,F,9,1000000.0
G9,0.439200014,G,9,1000000.0
H9,0.237499997,H,9,1000000.0
A10,0.578700006,A,10,100000000.0
B10,0.401899993,B,10,100000000.0
C10,0.502300024,C,10,100000000.0
D10,0.5255,D,10,100000000.0
E10,0.529600024,E,10,100000000.0
F10,0.540400028,F,10,100000000.0
G10,0.394499987,G,10,100000000.0
H10,0.235499993,H,10,100000000.0
A11,0.546199977,A,11,100000000.0
B11,0.464300007,B,11,100000000.0
C11,0.452699989,C,11,100000000.0
D11,0.51880002,D,11,100000000.0
E11,0.493800014,E,11,100000000.0
F11,0.517499983,F,11,100000000.0
G11,0.40169999,G,11,100000000.0
H11,0.232099995,H,11,100000000.0
A12,0.566699982,A,12,100000000.0
B12,0.704400003,B,12,100000000.0
C12,0.513199985,C,12,100000000.0
D12,0.702000022,D,12,100000000.0
E12,0.447400004,E,12,100000000.0
F12,0.460500002,F,12,100000000.0
G12,0.351500005,G,12,100000000.0
H12,0.125400007,H,12,100000000.0
