Well,OD,BioRep,Col,Dose
A1,1.073400021,A,1,0.0
B1,0.924700022,B,1,0.0
C1,1.360499978,C,1,0.0
D1,1.044100046,D,1,0.0
E1,1.174000025,E,1,0.0
F1,1.307000041,F,1,0.0
G1,1.066799998,G,1,0.0
H1,0.305200011,H,1,0.0
A2,1.097800016,A,2,0.0
B2,0.963999987,B,2,0.0
C2,1.314200044,C,2,0.0
D2,1.006199956,D,2,0.0
E2,1.130599976,E,2,0.0
F2,1.221500039,F,2,0.0
G2,1.045600057,G,2,0.0
H2,0.320100009,H,2,0.0
A3,1.132200003,A,3,0.0
B3,0.962199986,B,3,0.0
C3,1.27489996,C,3,0.0
D3,0.998300016,D,3,0.0
E3,0.981899977,E,3,0.0
F3,1.275400043,F,3,0.0
G3,1.060899973,G,3,0.0
H3,0.317400008,H,3,0.0
A4,1.188300014,A,4,10000.0
B4,0.917299986,B,4,10000.0
C4,1.213999987,C,4,10000.0
D4,0.968100011,D,4,10000.0
E4,0.881299973,E,4,10000.0
F4,1.264999986,F,4,10000.0
G4,1.046800017,G,4,10000.0
H4,0.316399992,H,4,10000.0
A5,1.224799991,A,5,10000.0
B5,0.938799977,B,5,10000.0
C5,1.244899988,C,5,10000.0
D5,1.01639998,D,5,10000.0
E5,0.840200007,E,5,10000.0
F5,1.263100028,F,5,10000.0
G5,1.02670002,G,5,10000.0
H5,0.327699989,H,5,10000.0
A6,1.164800048,A,6,10000.0
B6,0.973999977,B,6,10000.0
C6,1.297600031,C,6,10000.0
D6,0.976300001,D,6,10000.0
E6,1.088400006,E,6,10000.0
F6,1.253800035,F,6,10000.0
G6,1.033100009,G,6,10000.0
H6,0.320899993,H,6,10000.0
A7,0.82160002,A,7,1000000.0
B7,0.95569998,B,7,1000000.0
C7,1.271199942,C,7,1000000.0
D7,0.967299998,D,7,1000000.0
E7,0.929799974,E,7,1000000.0
F7,1.213000059,F,7,1000000.0
G7,1.028399944,G,7,1000000.0
H7,0.329100013,H,7,1000000.0
A8,1.246299982,A,8,1000000.0
B8,0.966899991,B,8,1000000.0
C8,1.3125,C,8,1000000.0
D8,1.038300037,D,8,1000000.0
E8,1.122499943,E,8,1000000.0
F8,1.265699983,F,8,1000000.0
G8,1.079699993,G,8,1000000.0
H8,0.313300014,H,8,1000000.0
A9,1.216799974,A,9,1000000.0
B9,0.950100005,B,9,1000000.0
C9,1.324300051,C,9,1000000.0
D9,0.970499992,D,9,1000000.0
E9,1.061800003,E,9,1000000.0
F9,1.193400025,F,9,1000000.0
G9,1.048099995,G,9,1000000.0
H9,0.3125,H,9,1000000.0
A10,0.907100022,A,10,100000000.0
B10,0.939300001,B,10,100000000.0
C10,1.124500036,C,10,100000000.0
D10,0.947300017,D,10,100000000.0
E10,1.050500035,E,10,100000000.0
F10,1.08130002,F,10,100000000.0
G10,0.998099983,G,10,100000000.0
H10,0.318500012,H,10,100000000.0
A11,1.09920001,A,11,100000000.0
B11,0.951600015,B,11,100000000.0
C11,1.173699975,C,11,100000000.0
D11,0.966000021,D,11,100000000.0
E11,0.727900028,E,11,100000000.0
F11,1.166200042,F,11,100000000.0
G11,1.034700036,G,11,100000000.0
H11,0.310400009,H,11,100000000.0
A12,1.08949995,A,12,100000000.0
B12,0.955299973,B,12,100000000.0
C12,1.179800034,C,12,100000000.0
D12,1.006199956,D,12,100000000.0
E12,1.048900008,E,12,100000000.0
F12,1.138599992,F,12,100000000.0
G12,1.057500005,G,12,100000000.0
H12,0.287299991,H,12,100000000.0
