Well,OD,BioRep,Col,Dose
A1,0.345400006,A,1,0.0
B1,0.316700011,B,1,0.0
C1,0.323300004,C,1,0.0
D1,0.326099992,D,1,0.0
E1,0.317799985,E,1,0.0
F1,0.321399987,F,1,0.0
G1,0.336100012,G,1,0.0
H1,0.113399997,H,1,0.0
A2,0.329600006,A,2,0.0
B2,0.519200027,B,2,0.0
C2,0.539600015,C,2,0.0
D2,0.528900027,D,2,0.0
E2,0.504100025,E,2,0.0
F2,0.511399984,F,2,0.0
G2,0.504100025,G,2,0.0
H2,0.145199999,H,2,0.0
A3,0.316599995,A,3,0.0
B3,0.520200014,B,3,0.0
C3,0.549099982,C,3,0.0
D3,0.568300009,D,3,0.0
E3,0.52670002,E,3,0.0
F3,0.512499988,F,3,0.0
G3,0.550000012,G,3,0.0
H3,0.144999996,H,3,0.0
A4,0.34009999,A,4,10000.0
B4,0.519699991,B,4,10000.0
C4,0.542100012,C,4,10000.0
D4,0.540400028,D,4,10000.0
E4,0.53640002,E,4,10000.0
F4,0.503499985,F,4,10000.0
G4,0.557900012,G,4,10000.0
H4,0.148300007,H,4,10000.0
A5,0.3486,A,5,10000.0
B5,0.523400009,B,5,10000.0
C5,0.539399981,C,5,10000.0
D5,0.548399985,D,5,10000.0
E5,0.498600006,E,5,10000.0
F5,0.510900021,F,5,10000.0
G5,0.533699989,G,5,10000.0
H5,0.149800003,H,5,10000.0
A6,0.348800004,A,6,10000.0
B6,0.54339999,B,6,10000.0
C6,0.509000003,C,6,10000.0
D6,0.543099999,D,6,10000.0
E6,0.481599987,E,6,10000.0
F6,0.512099981,F,6,10000.0
G6,0.54610002,G,6,10000.0
H6,0.144500002,H,6,10000.0
A7,0.35769999,A,7,1000000.0
B7,0.565699995,B,7,1000000.0
C7,0.525200009,C,7,1000000.0
D7,0.513199985,D,7,1000000.0
E7,0.511099994,E,7,1000000.0
F7,0.513400018,F,7,1000000.0
G7,0.508599997,G,7,1000000.0
H7,0.201800004,H,7,1000000.0
A8,0.353300005,A,8,1000000.0
B8,0.564599991,B,8,1000000.0
C8,0.556400001,C,8,1000000.0
D8,0.55250001,D,8,1000000.0
E8,0.566999972,E,8,1000000.0
F8,0.517400026,F,8,1000000.0
G8,0.556999981,G,8,1000000.0
H8,0.146599993,H,8,1000000.0
A9,0.361499995,A,9,1000000.0
B9,0.519200027,B,9,1000000.0
C9,0.551500022,C,9,1000000.0
D9,0.562300026,D,9,1000000.0
E9,0.550700009,E,9,1000000.0
F9,0.530700028,F,9,1000000.0
G9,0.5546,G,9,1000000.0
H9,0.143000007,H,9,1000000.0
A10,0.348800004,A,10,100000000.0
B10,0.533599973,B,10,100000000.0
C10,0.547200024,C,10,100000000.0
D10,0.558099985,D,10,100000000.0
E10,0.559099972,E,10,100000000.0
F10,0.479699999,F,10,100000000.0
G10,0.360799998,G,10,100000000.0
H10,0.108800001,H,10,100000000.0
A11,0.36559999,A,11,100000000.0
B11,0.415699989,B,11,100000000.0
C11,0.536899984,C,11,100000000.0
D11,0.355800003,D,11,100000000.0
E11,0.389200002,E,11,100000000.0
F11,0.326599985,F,11,100000000.0
G11,0.372099996,G,11,100000000.0
H11,0.094099998,H,11,100000000.0
A12,0.380100012,A,12,100000000.0
B12,0.350100011,B,12,100000000.0
C12,0.360799998,C,12,100000000.0
D12,0.357800007,D,12,100000000.0
E12,0.382499993,E,12,100000000.0
F12,0.310699999,F,12,100000000.0
G12,0.3389,G,12,100000000.0
H12,0.100100003,H,12,100000000.0
