Well,OD,BioRep,Col,Dose
A1,0.716899991,A,1,0.0
B1,1.235100031,B,1,0.0
C1,1.163599968,C,1,0.0
D1,0.765100002,D,1,0.0
E1,1.341699958,E,1,0.0
F1,0.779699981,F,1,0.0
G1,0.806900024,G,1,0.0
H1,0.266200006,H,1,0.0
A2,0.747099996,A,2,0.0
B2,1.028399944,B,2,0.0
C2,1.017400026,C,2,0.0
D2,0.740700006,D,2,0.0
E2,0.978699982,E,2,0.0
F2,0.758000016,F,2,0.0
G2,0.772099972,G,2,0.0
H2,0.262199998,H,2,0.0
A3,0.735599995,A,3,0.0
B3,1.00909996,B,3,0.0
C3,1.144600034,C,3,0.0
D3,0.80250001,D,3,0.0
E3,1.113000035,E,3,0.0
F3,0.778299987,F,3,0.0
G3,0.760800004,G,3,0.0
H3,0.269699991,H,3,0.0
A4,0.75940001,A,4,10000.0
B4,0.83859998,B,4,10000.0
C4,0.707899988,C,4,10000.0
D4,0.8028,D,4,10000.0
E4,0.837100029,E,4,10000.0
F4,0.806800008,F,4,10000.0
G4,0.727699995,G,4,10000.0
H4,0.260800004,H,4,10000.0
A5,0.771899998,A,5,10000.0
B5,0.739199996,B,5,10000.0
C5,0.974600017,C,5,10000.0
D5,0.822899997,D,5,10000.0
E5,0.882200003,E,5,10000.0
F5,0.80400002,F,5,10000.0
G5,0.734399974,G,5,10000.0
H5,0.259799987,H,5,10000.0
A6,0.737900019,A,6,10000.0
B6,0.758700013,B,6,10000.0
C6,0.79519999,C,6,10000.0
D6,0.774900019,D,6,10000.0
E6,0.837700009,E,6,10000.0
F6,0.819899976,F,6,10000.0
G6,0.716300011,G,6,10000.0
H6,0.230800003,H,6,10000.0
A7,0.753099978,A,7,1000000.0
B7,0.844600022,B,7,1000000.0
C7,0.834500015,C,7,1000000.0
D7,0.857500017,D,7,1000000.0
E7,0.949899971,E,7,1000000.0
F7,0.806500018,F,7,1000000.0
G7,0.773699999,G,7,1000000.0
H7,0.247799993,H,7,1000000.0
A8,0.749499977,A,8,1000000.0
B8,1.243999958,B,8,1000000.0
C8,0.981700003,C,8,1000000.0
D8,0.802299976,D,8,1000000.0
E8,1.026499987,E,8,1000000.0
F8,0.763499975,F,8,1000000.0
G8,0.798500001,G,8,1000000.0
H8,0.245000005,H,8,1000000.0
A9,0.692499995,A,9,1000000.0
B9,1.082999945,B,9,1000000.0
C9,1.105200052,C,9,1000000.0
D9,0.789900005,D,9,1000000.0
E9,0.8398,E,9,1000000.0
F9,0.691200018,F,9,1000000.0
G9,0.764500022,G,9,1000000.0
H9,0.251899987,H,9,1000000.0
A10,0.67750001,A,10,100000000.0
B10,0.995599985,B,10,100000000.0
C10,0.98210001,C,10,100000000.0
D10,0.789099991,D,10,100000000.0
E10,1.10650003,E,10,100000000.0
F10,0.721300006,F,10,100000000.0
G10,0.770500004,G,10,100000000.0
H10,0.253399998,H,10,100000000.0
A11,0.703999996,A,11,100000000.0
B11,1.090399981,B,11,100000000.0
C11,1.055899978,C,11,100000000.0
D11,0.754400015,D,11,100000000.0
E11,1.020900011,E,11,100000000.0
F11,0.753000021,F,11,100000000.0
G11,0.772199988,G,11,100000000.0
H11,0.248400003,H,11,100000000.0
A12,0.782299995,A,12,100000000.0
B12,1.156700015,B,12,100000000.0
C12,0.879499972,C,12,100000000.0
D12,0.758400023,D,12,100000000.0
E12,1.116099954,E,12,100000000.0
F12,0.750800014,F,12,100000000.0
G12,0.791400015,G,12,100000000.0
H12,0.232700005,H,12,100000000.0
