Well,OD,BioRep,Col,Dose
A1,0.713100016,A,1,0.0
B1,1.291599989,B,1,0.0
C1,1.186499953,C,1,0.0
D1,0.943000019,D,1,0.0
E1,0.82190001,E,1,0.0
F1,0.566900015,F,1,0.0
G1,1.246299982,G,1,0.0
H1,0.184100002,H,1,0.0
A2,0.650200009,A,2,0.0
B2,1.286000013,B,2,0.0
C2,1.059800029,C,2,0.0
D2,1.281999946,D,2,0.0
E2,0.87349999,E,2,0.0
F2,0.703299999,F,2,0.0
G2,1.203500032,G,2,0.0
H2,0.187600002,H,2,0.0
A3,0.538999975,A,3,0.0
B3,1.050999999,B,3,0.0
C3,1.17719996,C,3,0.0
D3,1.210999966,D,3,0.0
E3,0.880699992,E,3,0.0
F3,0.737800002,F,3,0.0
G3,1.175400019,G,3,0.0
H3,0.169200003,H,3,0.0
A4,0.72299999,A,4,10000.0
B4,0.914399981,B,4,10000.0
C4,0.962199986,C,4,10000.0
D4,1.200299978,D,4,10000.0
E4,0.873099983,E,4,10000.0
F4,0.835600019,F,4,10000.0
G4,0.980000019,G,4,10000.0
H4,0.262600005,H,4,10000.0
A5,0.793500006,A,5,10000.0
B5,0.960500002,B,5,10000.0
C5,1.07249999,C,5,10000.0
D5,0.801900029,D,5,10000.0
E5,0.835900009,E,5,10000.0
F5,0.951600015,F,5,10000.0
G5,0.993499994,G,5,10000.0
H5,0.263099998,H,5,10000.0
A6,0.671700001,A,6,10000.0
B6,0.815299988,B,6,10000.0
C6,1.026900053,C,6,10000.0
D6,0.788699985,D,6,10000.0
E6,0.852999985,E,6,10000.0
F6,1.297099948,F,6,10000.0
G6,0.953800023,G,6,10000.0
H6,0.249599993,H,6,10000.0
A7,0.782599986,A,7,1000000.0
B7,0.782999992,B,7,1000000.0
C7,1.044700027,C,7,1000000.0
D7,0.854499996,D,7,1000000.0
E7,0.820900023,E,7,1000000.0
F7,1.083999991,F,7,1000000.0
G7,0.893100023,G,7,1000000.0
H7,0.234099999,H,7,1000000.0
A8,0.758599997,A,8,1000000.0
B8,0.920099974,B,8,1000000.0
C8,0.958000004,C,8,1000000.0
D8,0.913200021,D,8,1000000.0
E8,0.810699999,E,8,1000000.0
F8,0.85680002,F,8,1000000.0
G8,0.85680002,G,8,1000000.0
H8,0.237599999,H,8,1000000.0
A9,0.821500003,A,9,1000000.0
B9,1.016600013,B,9,1000000.0
C9,0.933099985,C,9,1000000.0
D9,0.71359998,D,9,1000000.0
E9,0.811699986,E,9,1000000.0
F9,0.862200022,F,9,1000000.0
G9,0.963199973,G,9,1000000.0
H9,0.240999997,H,9,1000000.0
A10,0.899399996,A,10,100000000.0
B10,1.095299959,B,10,100000000.0
C10,1.000499964,C,10,100000000.0
D10,0.717199981,D,10,100000000.0
E10,0.777700007,E,10,100000000.0
F10,0.9727,F,10,100000000.0
G10,1.090499997,G,10,100000000.0
H10,0.245199993,H,10,100000000.0
A11,0.703599989,A,11,100000000.0
B11,1.245800018,B,11,100000000.0
C11,1.00030005,C,11,100000000.0
D11,0.732800007,D,11,100000000.0
E11,0.797599971,E,11,100000000.0
F11,0.8046,F,11,100000000.0
G11,1.011299968,G,11,100000000.0
H11,0.249699995,H,11,100000000.0
A12,0.82980001,A,12,100000000.0
B12,1.057399988,B,12,100000000.0
C12,1.050799966,C,12,100000000.0
D12,0.820800006,D,12,100000000.0
E12,0.7852,E,12,100000000.0
F12,0.83890003,F,12,100000000.0
G12,0.896099985,G,12,100000000.0
H12,0.227699995,H,12,100000000.0
