Well,OD,BioRep,Col,Dose
A1,0.326700002,A,1,0.0
B1,0.378899992,B,1,0.0
C1,0.3495,C,1,0.0
D1,0.435400009,D,1,0.0
E1,0.333000004,E,1,0.0
F1,0.300099999,F,1,0.0
G1,0.352499992,G,1,0.0
H1,0.098300003,H,1,0.0
A2,0.345299989,A,2,0.0
B2,0.398600012,B,2,0.0
C2,0.309799999,C,2,0.0
D2,0.434500009,D,2,0.0
E2,0.289099991,E,2,0.0
F2,0.389899999,F,2,0.0
G2,0.368299991,G,2,0.0
H2,0.1096,H,2,0.0
A3,0.379599988,A,3,0.0
B3,0.399199992,B,3,0.0
C3,0.306300014,C,3,0.0
D3,0.419200003,D,3,0.0
E3,0.296700001,E,3,0.0
F3,0.412600011,F,3,0.0
G3,0.361699998,G,3,0.0
H3,0.120300002,H,3,0.0
A4,0.351200014,A,4,10000.0
B4,0.395599991,B,4,10000.0
C4,0.313800007,C,4,10000.0
D4,0.416099995,D,4,10000.0
E4,0.324000001,E,4,10000.0
F4,0.337099999,F,4,10000.0
G4,0.293799996,G,4,10000.0
H4,0.138699993,H,4,10000.0
A5,0.368000001,A,5,10000.0
B5,0.403299987,B,5,10000.0
C5,0.318500012,C,5,10000.0
D5,0.412499994,D,5,10000.0
E5,0.324000001,E,5,10000.0
F5,0.311300009,F,5,10000.0
G5,0.298400015,G,5,10000.0
H5,0.129999995,H,5,10000.0
A6,0.368999988,A,6,10000.0
B6,0.394699991,B,6,10000.0
C6,0.310099989,C,6,10000.0
D6,0.432599992,D,6,10000.0
E6,0.333400011,E,6,10000.0
F6,0.309399992,F,6,10000.0
G6,0.319200009,G,6,10000.0
H6,0.135399997,H,6,10000.0
A7,0.365799993,A,7,1000000.0
B7,0.399699986,B,7,1000000.0
C7,0.317200005,C,7,1000000.0
D7,0.436399996,D,7,1000000.0
E7,0.332199991,E,7,1000000.0
F7,0.340200007,F,7,1000000.0
G7,0.304800004,G,7,1000000.0
H7,0.123300001,H,7,1000000.0
A8,0.38440001,A,8,1000000.0
B8,0.395200014,B,8,1000000.0
C8,0.321500003,C,8,1000000.0
D8,0.430400014,D,8,1000000.0
E8,0.34889999,E,8,1000000.0
F8,0.36649999,F,8,1000000.0
G8,0.301999986,G,8,1000000.0
H8,0.1074,H,8,1000000.0
A9,0.379000008,A,9,1000000.0
B9,0.386799991,B,9,1000000.0
C9,0.352899998,C,9,1000000.0
D9,0.429100007,D,9,1000000.0
E9,0.339399993,E,9,1000000.0
F9,0.33070001,F,9,1000000.0
G9,0.371399999,G,9,1000000.0
H9,0.104699999,H,9,1000000.0
A10,0.370900005,A,10,100000000.0
B10,0.399500012,B,10,100000000.0
C10,0.328000009,C,10,100000000.0
D10,0.424199998,D,10,100000000.0
E10,0.33129999,E,10,100000000.0
F10,0.345600009,F,10,100000000.0
G10,0.316199988,G,10,100000000.0
H10,0.106299996,H,10,100000000.0
A11,0.362500012,A,11,100000000.0
B11,0.412400007,B,11,100000000.0
C11,0.331200004,C,11,100000000.0
D11,0.412200004,D,11,100000000.0
E11,0.307700008,E,11,100000000.0
F11,0.339899987,F,11,100000000.0
G11,0.339700013,G,11,100000000.0
H11,0.100000001,H,11,100000000.0
A12,0.367399991,A,12,100000000.0
B12,0.41839999,B,12,100000000.0
C12,0.426699996,C,12,100000000.0
D12,0.425500005,D,12,100000000.0
E12,0.349599987,E,12,100000000.0
F12,0.488400012,F,12,100000000.0
G12,0.382600009,G,12,100000000.0
H12,0.0995,H,12,100000000.0
