Well,OD,BioRep,Col,Dose
A1,0.505699992,A,1,0.0
B1,0.521799982,B,1,0.0
C1,0.526300013,C,1,0.0
D1,0.553499997,D,1,0.0
E1,0.562600017,E,1,0.0
F1,0.564899981,F,1,0.0
G1,0.542999983,G,1,0.0
H1,0.386799991,H,1,0.0
A2,0.500899971,A,2,0.0
B2,0.506699979,B,2,0.0
C2,0.480699986,C,2,0.0
D2,0.524600029,D,2,0.0
E2,0.534200013,E,2,0.0
F2,0.523599982,F,2,0.0
G2,0.512499988,G,2,0.0
H2,0.383300006,H,2,0.0
A3,0.496399999,A,3,0.0
B3,0.4912,B,3,0.0
C3,0.494500011,C,3,0.0
D3,0.526499987,D,3,0.0
E3,0.542100012,E,3,0.0
F3,0.532299995,F,3,0.0
G3,0.512700021,G,3,0.0
H3,0.384499997,H,3,0.0
A4,0.493000001,A,4,10000.0
B4,0.494300008,B,4,10000.0
C4,0.505900025,C,4,10000.0
D4,0.51849997,D,4,10000.0
E4,0.537400007,E,4,10000.0
F4,0.540300012,F,4,10000.0
G4,0.536000013,G,4,10000.0
H4,0.381799996,H,4,10000.0
A5,0.503400028,A,5,10000.0
B5,0.494899988,B,5,10000.0
C5,0.492199987,C,5,10000.0
D5,0.537199974,D,5,10000.0
E5,0.555100024,E,5,10000.0
F5,0.527499974,F,5,10000.0
G5,0.528800011,G,5,10000.0
H5,0.382699996,H,5,10000.0
A6,0.49180001,A,6,10000.0
B6,0.491299987,B,6,10000.0
C6,0.489300013,C,6,10000.0
D6,0.527700007,D,6,10000.0
E6,0.55309999,E,6,10000.0
F6,0.536800027,F,6,10000.0
G6,0.521099985,G,6,10000.0
H6,0.380299985,H,6,10000.0
A7,0.494399995,A,7,1000000.0
B7,0.4824,B,7,1000000.0
C7,0.4815,C,7,1000000.0
D7,0.527999997,D,7,1000000.0
E7,0.550499976,E,7,1000000.0
F7,0.537199974,F,7,1000000.0
G7,0.522700012,G,7,1000000.0
H7,0.375400007,H,7,1000000.0
A8,0.479799986,A,8,1000000.0
B8,0.491100013,B,8,1000000.0
C8,0.479900002,C,8,1000000.0
D8,0.513700008,D,8,1000000.0
E8,0.548600018,E,8,1000000.0
F8,0.532599986,F,8,1000000.0
G8,0.518999994,G,8,1000000.0
H8,0.369500011,H,8,1000000.0
A9,0.484299988,A,9,1000000.0
B9,0.47389999,B,9,1000000.0
C9,0.482800007,C,9,1000000.0
D9,0.515999973,D,9,1000000.0
E9,0.541899979,E,9,1000000.0
F9,0.525099993,F,9,1000000.0
G9,0.506600022,G,9,1000000.0
H9,0.368999988,H,9,1000000.0
A10,0.473199993,A,10,100000000.0
B10,0.460399985,B,10,100000000.0
C10,0.487899989,C,10,100000000.0
D10,0.497500002,D,10,100000000.0
E10,0.525399983,E,10,100000000.0
F10,0.503499985,F,10,100000000.0
G10,0.499500006,G,10,100000000.0
H10,0.362699986,H,10,100000000.0
A11,0.467500001,A,11,100000000.0
B11,0.439200014,B,11,100000000.0
C11,0.4824,C,11,100000000.0
D11,0.487599999,D,11,100000000.0
E11,0.520299971,E,11,100000000.0
F11,0.509800017,F,11,100000000.0
G11,0.487699986,G,11,100000000.0
H11,0.361000001,H,11,100000000.0
A12,0.506200016,A,12,100000000.0
B12,0.470600009,B,12,100000000.0
C12,0.498199999,C,12,100000000.0
D12,0.499900013,D,12,100000000.0
E12,0.520799994,E,12,100000000.0
F12,0.50910002,F,12,100000000.0
G12,0.520500004,G,12,100000000.0
H12,0.355599999,H,12,100000000.0
