Well,OD,BioRep,Col,Dose
A1,0.910000026,A,1,0.0
B1,0.737800002,B,1,0.0
C1,1.092399955,C,1,0.0
D1,0.796199977,D,1,0.0
E1,0.753000021,E,1,0.0
F1,1.172700047,F,1,0.0
G1,1.178900003,G,1,0.0
H1,0.137899995,H,1,0.0
A2,0.958500028,A,2,0.0
B2,0.824000001,B,2,0.0
C2,1.184299946,C,2,0.0
D2,0.931699991,D,2,0.0
E2,0.899200022,E,2,0.0
F2,1.260400057,F,2,0.0
G2,1.180299997,G,2,0.0
H2,0.156499997,H,2,0.0
A3,0.880200028,A,3,0.0
B3,0.920799971,B,3,0.0
C3,1.179800034,C,3,0.0
D3,0.964299977,D,3,0.0
E3,0.888599992,E,3,0.0
F3,1.271900058,F,3,0.0
G3,1.288800001,G,3,0.0
H3,0.158899993,H,3,0.0
A4,0.850700021,A,4,10000.0
B4,0.881600022,B,4,10000.0
C4,1.126600027,C,4,10000.0
D4,0.898000002,D,4,10000.0
E4,0.865100026,E,4,10000.0
F4,1.134500027,F,4,10000.0
G4,1.201599956,G,4,10000.0
H4,0.159600005,H,4,10000.0
A5,0.953999996,A,5,10000.0
B5,0.8829,B,5,10000.0
C5,1.044800043,C,5,10000.0
D5,0.927900016,D,5,10000.0
E5,0.82249999,E,5,10000.0
F5,1.086599946,F,5,10000.0
G5,1.129999995,G,5,10000.0
H5,0.150299996,H,5,10000.0
A6,0.878000021,A,6,10000.0
B6,0.9023,B,6,10000.0
C6,1.046599984,C,6,10000.0
D6,0.950100005,D,6,10000.0
E6,0.896499991,E,6,10000.0
F6,1.118399978,F,6,10000.0
G6,1.135699987,G,6,10000.0
H6,0.150700003,H,6,10000.0
A7,1.041800022,A,7,1000000.0
B7,0.930599988,B,7,1000000.0
C7,1.027400017,C,7,1000000.0
D7,0.925000012,D,7,1000000.0
E7,0.878400028,E,7,1000000.0
F7,1.169999957,F,7,1000000.0
G7,1.040599942,G,7,1000000.0
H7,0.148399994,H,7,1000000.0
A8,0.872300029,A,8,1000000.0
B8,0.906599998,B,8,1000000.0
C8,1.071400046,C,8,1000000.0
D8,0.915300012,D,8,1000000.0
E8,0.897599995,E,8,1000000.0
F8,1.067100048,F,8,1000000.0
G8,1.039899945,G,8,1000000.0
H8,0.140599996,H,8,1000000.0
A9,0.630400002,A,9,1000000.0
B9,0.898299992,B,9,1000000.0
C9,1.174700022,C,9,1000000.0
D9,0.903800011,D,9,1000000.0
E9,0.854900002,E,9,1000000.0
F9,1.066300035,F,9,1000000.0
G9,0.998399973,G,9,1000000.0
H9,0.141900003,H,9,1000000.0
A10,0.874300003,A,10,100000000.0
B10,0.880999982,B,10,100000000.0
C10,1.031900048,C,10,100000000.0
D10,0.908900023,D,10,100000000.0
E10,0.864000022,E,10,100000000.0
F10,1.028499961,F,10,100000000.0
G10,0.858399987,G,10,100000000.0
H10,0.145199999,H,10,100000000.0
A11,0.4727,A,11,100000000.0
B11,0.705799997,B,11,100000000.0
C11,0.845600009,C,11,100000000.0
D11,0.742999971,D,11,100000000.0
E11,0.745599985,E,11,100000000.0
F11,0.962000012,F,11,100000000.0
G11,0.952899992,G,11,100000000.0
H11,0.148000002,H,11,100000000.0
A12,0.903100014,A,12,100000000.0
B12,0.709599972,B,12,100000000.0
C12,1.002300024,C,12,100000000.0
D12,0.770600021,D,12,100000000.0
E12,0.802299976,E,12,100000000.0
F12,1.047700047,F,12,100000000.0
G12,0.990499973,G,12,100000000.0
H12,0.1329,H,12,100000000.0
