Well,OD,BioRep,Col,Dose
A1,0.934099972,A,1,0.0
B1,0.870100021,B,1,0.0
C1,1.170400023,C,1,0.0
D1,0.704200029,D,1,0.0
E1,0.813799977,E,1,0.0
F1,0.804799974,F,1,0.0
G1,0.968100011,G,1,0.0
H1,0.179399997,H,1,0.0
A2,1.086799979,A,2,0.0
B2,0.816299975,B,2,0.0
C2,1.025900006,C,2,0.0
D2,0.690599978,D,2,0.0
E2,0.775900006,E,2,0.0
F2,0.800000012,F,2,0.0
G2,0.994300008,G,2,0.0
H2,0.220400006,H,2,0.0
A3,0.985899985,A,3,0.0
B3,0.827700019,B,3,0.0
C3,1.239099979,C,3,0.0
D3,0.820800006,D,3,0.0
E3,0.898199975,E,3,0.0
F3,0.882799983,F,3,0.0
G3,0.940999985,G,3,0.0
H3,0.238800004,H,3,0.0
A4,1.046599984,A,4,10000.0
B4,0.794200003,B,4,10000.0
C4,1.153100014,C,4,10000.0
D4,0.779399991,D,4,10000.0
E4,0.903699994,E,4,10000.0
F4,0.808399975,F,4,10000.0
G4,0.9727,G,4,10000.0
H4,0.239299998,H,4,10000.0
A5,1.057399988,A,5,10000.0
B5,0.780600011,B,5,10000.0
C5,1.184999943,C,5,10000.0
D5,0.780099988,D,5,10000.0
E5,0.890500009,E,5,10000.0
F5,0.908500016,F,5,10000.0
G5,0.956099987,G,5,10000.0
H5,0.231299996,H,5,10000.0
A6,1.079900026,A,6,10000.0
B6,0.808300018,B,6,10000.0
C6,1.155500054,C,6,10000.0
D6,0.804099977,D,6,10000.0
E6,0.888899982,E,6,10000.0
F6,0.902199984,F,6,10000.0
G6,0.905499995,G,6,10000.0
H6,0.225600004,H,6,10000.0
A7,1.026800036,A,7,1000000.0
B7,0.816100001,B,7,1000000.0
C7,1.252300024,C,7,1000000.0
D7,0.799700022,D,7,1000000.0
E7,0.896200001,E,7,1000000.0
F7,0.901199996,F,7,1000000.0
G7,0.938899994,G,7,1000000.0
H7,0.215499997,H,7,1000000.0
A8,0.973200023,A,8,1000000.0
B8,0.797800004,B,8,1000000.0
C8,1.205199957,C,8,1000000.0
D8,0.800899982,D,8,1000000.0
E8,0.900600016,E,8,1000000.0
F8,0.91079998,F,8,1000000.0
G8,0.968299985,G,8,1000000.0
H8,0.216100007,H,8,1000000.0
A9,0.987399995,A,9,1000000.0
B9,0.81220001,B,9,1000000.0
C9,1.120399952,C,9,1000000.0
D9,0.758300006,D,9,1000000.0
E9,0.869400024,E,9,1000000.0
F9,0.851000011,F,9,1000000.0
G9,0.907100022,G,9,1000000.0
H9,0.217800006,H,9,1000000.0
A10,1.140200019,A,10,100000000.0
B10,0.793299973,B,10,100000000.0
C10,1.011399984,C,10,100000000.0
D10,0.65170002,D,10,100000000.0
E10,0.755299985,E,10,100000000.0
F10,0.769999981,F,10,100000000.0
G10,0.824699998,G,10,100000000.0
H10,0.1919,H,10,100000000.0
A11,0.677699983,A,11,100000000.0
B11,0.796999991,B,11,100000000.0
C11,0.972599983,C,11,100000000.0
D11,0.647499979,D,11,100000000.0
E11,0.746399999,E,11,100000000.0
F11,0.774900019,F,11,100000000.0
G11,0.833899975,G,11,100000000.0
H11,0.186700001,H,11,100000000.0
A12,1.050799966,A,12,100000000.0
B12,0.836799979,B,12,100000000.0
C12,1.070299983,C,12,100000000.0
D12,0.699500024,D,12,100000000.0
E12,0.809300005,E,12,100000000.0
F12,0.828700006,F,12,100000000.0
G12,0.890999973,G,12,100000000.0
H12,0.166099995,H,12,100000000.0
