Well,OD,BioRep,Col,Dose
A1,0.315899998,A,1,0.0
B1,0.288199991,B,1,0.0
C1,0.287999988,C,1,0.0
D1,0.301200002,D,1,0.0
E1,0.300599992,E,1,0.0
F1,0.326000005,F,1,0.0
G1,0.29519999,G,1,0.0
H1,0.098099999,H,1,0.0
A2,0.290199995,A,2,0.0
B2,0.259900004,B,2,0.0
C2,0.264699996,C,2,0.0
D2,0.288599998,D,2,0.0
E2,0.2958,E,2,0.0
F2,0.323500007,F,2,0.0
G2,0.287800014,G,2,0.0
H2,0.130500004,H,2,0.0
A3,0.293500006,A,3,0.0
B3,0.261999995,B,3,0.0
C3,0.260899991,C,3,0.0
D3,0.284700006,D,3,0.0
E3,0.291000009,E,3,0.0
F3,0.345699996,F,3,0.0
G3,0.284999996,G,3,0.0
H3,0.129299998,H,3,0.0
A4,0.29429999,A,4,10000.0
B4,0.259200007,B,4,10000.0
C4,0.262699991,C,4,10000.0
D4,0.308999985,D,4,10000.0
E4,0.2958,E,4,10000.0
F4,0.326299995,F,4,10000.0
G4,0.303600013,G,4,10000.0
H4,0.1294,H,4,10000.0
A5,0.291700006,A,5,10000.0
B5,0.259799987,B,5,10000.0
C5,0.276600003,C,5,10000.0
D5,0.298099995,D,5,10000.0
E5,0.304100007,E,5,10000.0
F5,0.327300012,F,5,10000.0
G5,0.289499998,G,5,10000.0
H5,0.130099997,H,5,10000.0
A6,0.292400002,A,6,10000.0
B6,0.271100014,B,6,10000.0
C6,0.274399996,C,6,10000.0
D6,0.287400007,D,6,10000.0
E6,0.305200011,E,6,10000.0
F6,0.315600008,F,6,10000.0
G6,0.290300012,G,6,10000.0
H6,0.126300007,H,6,10000.0
A7,0.29519999,A,7,1000000.0
B7,0.25999999,B,7,1000000.0
C7,0.270700008,C,7,1000000.0
D7,0.283600003,D,7,1000000.0
E7,0.293099999,E,7,1000000.0
F7,0.332599998,F,7,1000000.0
G7,0.293199986,G,7,1000000.0
H7,0.121600002,H,7,1000000.0
A8,0.296600014,A,8,1000000.0
B8,0.263599992,B,8,1000000.0
C8,0.272399992,C,8,1000000.0
D8,0.28459999,D,8,1000000.0
E8,0.301400006,E,8,1000000.0
F8,0.32280001,F,8,1000000.0
G8,0.295300007,G,8,1000000.0
H8,0.1184,H,8,1000000.0
A9,0.300199986,A,9,1000000.0
B9,0.270500004,B,9,1000000.0
C9,0.268099993,C,9,1000000.0
D9,0.284299999,D,9,1000000.0
E9,0.303299993,E,9,1000000.0
F9,0.323799998,F,9,1000000.0
G9,0.300500005,G,9,1000000.0
H9,0.113899998,H,9,1000000.0
A10,0.290300012,A,10,100000000.0
B10,0.262199998,B,10,100000000.0
C10,0.265399992,C,10,100000000.0
D10,0.28639999,D,10,100000000.0
E10,0.295399994,E,10,100000000.0
F10,0.320899993,F,10,100000000.0
G10,0.294800013,G,10,100000000.0
H10,0.111400001,H,10,100000000.0
A11,0.291999996,A,11,100000000.0
B11,0.26910001,B,11,100000000.0
C11,0.257600009,C,11,100000000.0
D11,0.27579999,D,11,100000000.0
E11,0.296200007,E,11,100000000.0
F11,0.326099992,F,11,100000000.0
G11,0.305500001,G,11,100000000.0
H11,0.108599998,H,11,100000000.0
A12,0.306499988,A,12,100000000.0
B12,0.273799986,B,12,100000000.0
C12,0.271800011,C,12,100000000.0
D12,0.289200008,D,12,100000000.0
E12,0.284200013,E,12,100000000.0
F12,0.336400002,F,12,100000000.0
G12,0.291299999,G,12,100000000.0
H12,0.100900002,H,12,100000000.0
